timeStamp,demand,precip,temp
01-01-2012 00:00,4937.5,0,46.13
01-01-2012 01:00,4752.1,0,45.89
01-01-2012 02:00,4542.6,0,45.04
01-01-2012 03:00,4357.7,0,45.03
01-01-2012 04:00,4275.5,0,42.61
01-01-2012 05:00,4274.7,0,39.02
01-01-2012 06:00,4324.9,0,38.78
01-01-2012 07:00,4350,0,42.74
01-01-2012 08:00,4480.9,0,38.9
01-01-2012 09:00,4664.2,0,44.67
01-01-2012 10:00,4847.5,0,47.43
01-01-2012 11:00,4981.9,0,49.49
01-01-2012 12:00,5081,0,50.77
01-01-2012 13:00,5137.2,0,50.57
01-01-2012 14:00,5142.6,0,49.94
01-01-2012 15:00,5165.1,0,49.85
01-01-2012 16:00,5351.1,0,47.39
01-01-2012 17:00,5664,0,48.83
01-01-2012 18:00,5699.9,0,48.92
01-01-2012 19:00,5624.6,0.0101,48.74
01-01-2012 20:00,5555.4,0.0022,48.98
01-01-2012 21:00,5463,0.0463,49.19
01-01-2012 22:00,5269.7,0.0011,47.61
01-01-2012 23:00,4972.9,0,49.72
02-01-2012 00:00,4677,0,49.78
02-01-2012 01:00,4449.6,0,48.97
02-01-2012 02:00,4284.1,0,47.12
02-01-2012 03:00,4197.9,0,44.95
02-01-2012 04:00,4183.5,0,47.15
02-01-2012 05:00,4304.3,0,42.04
02-01-2012 06:00,4533.3,0,39.47
02-01-2012 07:00,4748.3,0,38.23
02-01-2012 08:00,5000.6,0,36.83
02-01-2012 09:00,5271.3,0,37.25
02-01-2012 10:00,5489.8,0,43.07
02-01-2012 11:00,5614.2,0,38.25
02-01-2012 12:00,5679.6,0,39.93
02-01-2012 13:00,5682.8,0,40.93
02-01-2012 14:00,5704.3,0,40.84
02-01-2012 15:00,5765.8,0,39.67
02-01-2012 16:00,5966.2,0,40.57
02-01-2012 17:00,6315,0,38.23
02-01-2012 18:00,6321.2,0,38.04
02-01-2012 19:00,6250.2,0,37.23
02-01-2012 20:00,6089.3,0,36.32
02-01-2012 21:00,5914.4,0,35.57
02-01-2012 22:00,5610.8,0,37.91
02-01-2012 23:00,5217.4,0,33.57
03-01-2012 00:00,4859,0,33.14
03-01-2012 01:00,4627,0,32.31
03-01-2012 02:00,4488.7,0,32.04
03-01-2012 03:00,4428.5,0,31.31
03-01-2012 04:00,4477.8,0,32.58
03-01-2012 05:00,4736.1,0,30.4
03-01-2012 06:00,5321.2,0,29.14
03-01-2012 07:00,5921.2,0,28.4
03-01-2012 08:00,6284.9,0,27.57
03-01-2012 09:00,6536.4,0,26.66
03-01-2012 10:00,6652,0,31.09
03-01-2012 11:00,6737.5,0,26.43
03-01-2012 12:00,6768.4,0,25.58
03-01-2012 13:00,6784.3,0,26.43
03-01-2012 14:00,6796.6,0,25.75
03-01-2012 15:00,6865.3,0,26
03-01-2012 16:00,7039.5,0,27.36
03-01-2012 17:00,7322.8,0,24.23
03-01-2012 18:00,7190.4,0,23.4
03-01-2012 19:00,7053.3,0,22.4
03-01-2012 20:00,6853.1,0,20.64
03-01-2012 21:00,6586,0,19.47
03-01-2012 22:00,6208.5,0,21.34
03-01-2012 23:00,5753.8,0,16.47
04-01-2012 00:00,5327.5,0,15.57
04-01-2012 01:00,5093.2,0,15.14
04-01-2012 02:00,4945,0,14.37
04-01-2012 03:00,4888,0,13.4
04-01-2012 04:00,4919,0,16.27
04-01-2012 05:00,5153.2,0,13.47
04-01-2012 06:00,5702.5,0,13.4
04-01-2012 07:00,6266.3,0,13.5
04-01-2012 08:00,6592.6,0,13.73
04-01-2012 09:00,6900.3,0,14.73
04-01-2012 10:00,6990.6,0,18.81
04-01-2012 11:00,7017.9,0,19.27
04-01-2012 12:00,7019.4,0,21.19
04-01-2012 13:00,7008.2,0,22.62
04-01-2012 14:00,6962.6,0,24.93
04-01-2012 15:00,7027.4,0,25.93
04-01-2012 16:00,7227.5,0,24.68
04-01-2012 17:00,7417.1,0,25.59
04-01-2012 18:00,7275.3,0,26.35
04-01-2012 19:00,7083.2,0,27.16
04-01-2012 20:00,6876,0,27.4
04-01-2012 21:00,6568.1,0,27.47
04-01-2012 22:00,6155.4,0,31.83
04-01-2012 23:00,5654.1,0,27.23
05-01-2012 00:00,5227.6,0,27.4
05-01-2012 01:00,4951.9,0,27.31
05-01-2012 02:00,4785.8,0,28.07
05-01-2012 03:00,4716,0,28.34
